Completed Date , Reference , Paid Out (EUR) , Paid In (EUR) , Exchange Out, Exchange In, Balance (EUR)
06 Jan 2017 , Maxi Ica Stormarknad N  , 1.21 ,  ,   ,  , 558.43
06 Jan 2017 , Cash at Atm Maxi Ica Stormarkn  , 52.47 ,  ,   ,  , 559.64
06 Jan 2017 , Cash at Bankomat Jarngatan 6  , 41.99 ,  ,   ,  , 612.11
06 Jan 2017 , Cash at Bankomat Jarngatan 6  , 41.99 ,  ,   ,  , 654.10
06 Jan 2017 , www.aliexpress.com  , 58.54 ,  ,   ,  , 696.09
04 Jan 2017 , Top-up via transfer  ,  , 150.00 ,   ,  , 754.63
04 Jan 2017 , Top-up via transfer  ,  , 150.00 ,   ,  , 604.63
04 Jan 2017 , Paypal *guillaumech  , 35.31 ,  ,   ,  , 454.63
04 Jan 2017 , To Bernard Jalabert  , 50.00 ,  ,   ,  , 489.94
04 Jan 2017 , Top-up via transfer  ,  , 150.00 ,   ,  , 539.94
04 Jan 2017 , Top-up via transfer  ,  , 150.00 ,   ,  , 389.94
04 Jan 2017 , Top-up via transfer  ,  , 150.00 ,   ,  , 239.94
04 Jan 2017 , Ica Supermarket Berga  , 17.43 ,  ,   ,  , 89.94
03 Jan 2017 , Easyjet  , 49.69 ,  ,   ,  , 107.37
03 Jan 2017 , Hmshost Sweden Ab  , 7.95 ,  ,   ,  , 157.06
03 Jan 2017 , Hmshost Sweden Ab  , 4.19 ,  ,   ,  , 165.01
03 Jan 2017 , Qmat 1097 Ot Re  , 10.50 ,  ,   ,  , 169.20
02 Jan 2017 , From Bernard Jalabert  ,  , 55.00 ,   ,  , 179.70
01 Jan 2017 , From Bernard Jalabert  ,  , 50.00 ,   ,  , 124.70
30 Dec 2016 , Cash at Transact Memhardstr 8  , 40.00 ,  ,   ,  , 74.70
30 Dec 2016 , sj.se  , 30.72 ,  ,   ,  , 114.70
30 Dec 2016 , Pegasus Foodsystems  , 8.00 ,  ,   ,  , 145.42
28 Dec 2016 , Rossmann 459  , 5.03 ,  ,   ,  , 153.42
28 Dec 2016 , Sandemans New Europe G  , 24.00 ,  ,   ,  , 158.45
27 Dec 2016 , Cash at Reiseb Berlin Bf. Alex  , 20.00 ,  ,   ,  , 182.45
27 Dec 2016 , Db Bahn Automaten  , 2.40 ,  ,   ,  , 202.45
27 Dec 2016 , Ah To Go 5870  , 5.19 ,  ,   ,  , 204.85
27 Dec 2016 , 🎁 Beds And Bars  , 140.79 ,  ,   ,  , 210.04
27 Dec 2016 , Cash at Eurozone  , 40.00 ,  ,   ,  , 350.83
27 Dec 2016 , 🎁 Myrna Supermarkt Bv  , 11.00 ,  ,   ,  , 390.83
27 Dec 2016 , 🎁 Temple Bar  , 12.00 ,  ,   ,  , 401.83
27 Dec 2016 , Ah To Go 5870  , 11.21 ,  ,   ,  , 422.33
27 Dec 2016 , Bk 7871  , 6.45 ,  ,   ,  , 433.54
27 Dec 2016 , Ns Schiphol  , 16.10 ,  ,   ,  , 439.99
26 Dec 2016 , From Bernard Jalabert  ,  , 100.00 ,   ,  , 456.09
24 Dec 2016 , To Adrien Dengreville  , 90.00 ,  ,   ,  , 356.09
23 Dec 2016 , Transport for London  , 2.36 ,  ,   ,  , 446.09
23 Dec 2016 , National Express Ltd  , 14.12 ,  ,   ,  , 448.45
23 Dec 2016 , Cash at Po W'minster 2350076  , 23.70 ,  ,   ,  , 462.57
22 Dec 2016 , Co-Op Group Food  , 4.24 ,  ,   ,  , 486.27
22 Dec 2016 , Transport for London  , 3.55 ,  ,   ,  , 490.51
22 Dec 2016 , Transport for London  , 1.78 ,  ,   ,  , 494.06
